Rank,Release Group,Worldwide,Domestic,%,Foreign,%
70,Kalki 2898 AD,"$25,341,218","$18,289,575",72.2%,"$7,051,643",27.8%
71,The Crow,"$23,733,708","$9,275,659",39.1%,"$14,458,049",60.9%
72,My Hero Academia: You're Next,"$23,615,369",-,-,"$23,615,369",100%
73,MaXXXine,"$22,046,302","$15,097,632",68.5%,"$6,948,670",31.5%
74,Mai,"$21,714,524",-,-,"$21,714,524",100%
75,Autumn and the Black Jaguar,"$21,500,872",-,-,"$21,500,872",100%
76,Unsung Hero,"$21,222,038","$20,335,239",95.8%,"$886,799",4.2%
77,Lyod 3,"$20,615,744",-,-,"$20,615,744",100%
78,Ordinary Angels,"$20,571,534","$19,174,421",93.2%,"$1,397,113",6.8%
79,Cabrini,"$20,460,915","$19,512,134",95.4%,"$948,781",4.6%
80,Interstellar 2024 Re-release,"$20,250,779",-,-,"$20,250,779",100%
81,"La planète des singes, une odyssée de l'espèce","$19,515,102",-,-,"$19,515,102",100%
82,Star Wars: Episode I - The Phantom Menace 2024 Re-release,"$19,429,994","$13,029,994",67.1%,"$6,400,000",32.9%
83,Face Off 7: One Wish,"$19,353,760",-,-,"$19,353,760",100%
84,Golden Kamuy,"$19,077,748",-,-,"$19,077,748",100%
85,Crayon Shin-chan: Ora's Dinosaur Diary,"$19,020,493",-,-,"$19,020,493",100%
86,Escape,"$18,456,373","$259,242",1.4%,"$18,197,131",98.6%
87,Cocorico,"$18,262,564",-,-,"$18,262,564",100%
88,Twilight of the Warriors: Walled In,"$17,065,480","$336,023",2%,"$16,729,457",98%
89,Guest from the Future,"$16,626,387",-,-,"$16,626,387",100%
90,Kinds of Kindness,"$15,838,084","$5,038,931",31.8%,"$10,799,153",68.2%
91,Late Night with the Devil,"$15,453,763","$10,001,000",64.7%,"$5,452,763",35.3%
92,Kleks Academy,"$15,348,026",-,-,"$15,348,026",100%
93,Father There is Only One 4,"$14,960,086",-,-,"$14,960,086",100%
94,The Chosen: S4 Episodes 1-3,"$14,873,918","$14,409,169",96.9%,"$464,749",3.1%
95,Hijack 1971,"$14,597,721","$242,069",1.7%,"$14,355,652",98.3%
96,Handsome Guys,"$14,439,610",-,-,"$14,439,610",100%
97,Blue Lock: Episode Nagi,"$14,231,025","$1,855,384",13%,"$12,375,641",87%
98,The Substance,"$13,490,469","$7,116,244",52.8%,"$6,374,225",47.2%
99,Article 370,"$13,222,021","$1,088,790",8.2%,"$12,133,231",91.8%
100,Letuchiy korabl,"$12,886,684",-,-,"$12,886,684",100%
101,Love Lies Bleeding,"$12,772,522","$8,335,797",65.3%,"$4,436,725",34.7%
102,Afraid,"$12,568,280","$6,726,179",53.5%,"$5,842,101",46.5%
103,Citizen of a Kind,"$11,976,305",-,-,"$11,976,305",100%
104,Sound of Hope: The Story of Possum Trot,"$11,704,813","$11,647,099",99.5%,"$57,714",0.5%
105,Am I Racist?,"$11,409,930","$11,409,930",100%,-,-
106,Maison de retraite 2,"$11,198,813",-,-,"$11,198,813",100%
107,A Million Minutes,"$11,077,140",-,-,"$11,077,140",100%
108,The Lord of the Rings: The Return of the King 2024 Re-release,"$10,834,996","$2,450,927",22.6%,"$8,384,069",77.4%
109,Alienoid: The Return to the Future,"$10,824,208","$60,720",0.6%,"$10,763,488",99.4%
110,Cat and Dog,"$10,740,923",-,-,"$10,740,923",100%
111,Thelma,"$10,663,051","$8,988,249",84.3%,"$1,674,802",15.7%
112,Never Let Go,"$10,519,150","$9,041,140",85.9%,"$1,478,010",14.1%
113,Lisa Frankenstein,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%
114,10 Lives,"$9,866,070",-,-,"$9,866,070",100%
115,Look Back,"$9,786,315",-,-,"$9,786,315",100%
